Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C24, C29, C55, C57, C6, C8",0805,8,10uF,C440198
"C10, C12, C13, C14, C15, C16, C21, C22, C23, C25, C28, C33, C39, C41, C42, C43, C44, C45, C5, C54, C56, C76, C77, C79, C80, C81, C82, C83, C84, C85, C88, C94",0603,32,100nf,C14663
"C11, C132, C38, C49, C50, C51, C52, C62, C7, C9, C95",0805,11,22uF,C45783
"C112, C34, C69",CP_Radial_D10.0mm_P5.00mm,3,680uF,C46550429
"C117, C118, C35, C36",0402,4,15pF,C1548
"C120, C123, C124, C126, C127, C128, C129, C130, C131, C46, C58, C59, C60, C63, C64, C65, C66, C67, C70, C71, C73, C74, C75, C78",0402,24,100n,C1525
"C17, C19, C20, C86",0603,4,1uF,v
"C18, C26, C27, C40, C90",0603,5,1uF,C15849
"C3, C4",1206,2,4.7uF 50V,C29823
"C30, C31, C68",0603,3,100pF,C14858
"C32, C37, C47, C48, C61, C72, C87, C89",0402,8,4.7u,C23733
C53,0603,1,4.7uF,C19666
"D1, D10, D25, D7",D_SMC,4,SMCJ33CA,C224050
"D11, D14, D15, D21, D24, D30, D36, D39, D53, D6, D9",D_SMA,11,SS54,C22452
"D12, D13, D16, D17, D18, D20, D22, D27, D41, D42, D49, D50, D51",D_SMB,13,SMB6.8CA,C78395
"D19, D2, D3, D38, D4, D8",0805,6,Green,C2297
"D23, D26, D29, D31, D32, D35, D40, D5",0805,8,White,C34499
"D28, D33, D34, D37",0805,4,Red,C84256
"FB1, FB7",0603,2,120Ω@100MHz,C14709
FB5,0603,1,600R@100MHz,C1002
FL3,FILTER-SMD_4P-L3.2-W2.5-BL,1,SDCW3225S-2-102TF,C192586
"J15, J17, J18",USB_C_Receptacle_HRO_TYPE-C-31-M-12,3,USB_C_Receptacle_USB2.0_16P,C2765186
"J16, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J3,RJ45_Amphenol_RJHSE538X-02,1,8P8C_LED_Shielded_x2,C3010546
J6,CONN_SD-34912-001_02_MOL,1,OEM Connector,C587318
"JP10, JP11, JP12",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
"L1, L2, L4, L5",L_Changjiang_FXL0630,4,6.8uh,C167221
"L3, L8",L_Changjiang_FXL1040,2,22uh 5.5A,C475917
"L6, L7",L_pol_2016,2,3.3uh,C42411119
"Q1, Q2, Q3, Q5",AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,4,CRSM034N06L2,C467174
"R1, R10",0603,2,150r,C22808
"R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R114, R115, R116, R126, R127, R130, R131, R134, R135, R153, R155, R193, R194, R195, R196, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R98, R99",1206,42,1M,C17927
"R11, R146, R27, R3, R40, R41, R45, R47, R70, R74, R76",0603,11,24k,C23352
"R111, R112, R61, R7, R9",0603,5,510r,C23193
"R12, R13, R14, R15, R174, R175, R20, R44, R53, R55, R82, R85",0603,12,5.1k,C23186
"R140, R142, R143, R144, R148, R16, R190, R22, R29, R31, R48, R50, R54, R56, R66, R67, R68, R73, R75, R77, R79, R81, R83, R84",0603,24,10k,C25804
"R149, R167, R168, R170, R34, R35, R43, R46, R49, R57, R59, R63, R64",0402,13,1k,C11702
"R150, R17, R25, R28, R4, R62",0603,6,100k,C25803
"R171, R19, R33, R80",0402,4,33r,C25105
R18,1206,1,120r,C17909
"R2, R37, R39, R8",0603,4,2.2k,C4190
"R21, R24, R51, R52",0402,4,22R,C25092
"R228, R229",0603,2,220r,C22962
"R23, R36, R38, R58, R71, R72, R78, R94, R97",0603,9,1k,C21190
"R26, R30, R5, R6, R69, R90",0603,6,100R,C22775
R60,0402,1,3.3k,C25890
R65,0603,1,2.7k,C13167
"SW1, SW2, SW3, SW4",SW_Push_1P1T_XKB_TS-1187A,4,TS-1187A-B-A-B,C318884
"TH1, TH2, TH3, TH4, TH5, TH6",RV_Disc_D15.5mm_W7.5mm_P5.0mm,6,B59451C1130B070,C2762811
"TP1, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_2Pads_Pitch2.54mm_Pad1.5_Drill1.0mm,16,TestPoint_2Pole,
"TP10, TP11, TP12, TP13, TP14, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38",TestPoint_THTPad_D1.5mm_Drill1.0mm,22,TP,
TR10,HM2113ZNLT,1,HM2113ZNLT,C5730533
"U1, U15, U23, U25, U26",SOT-23-5,5,SN74LV1T08DBVR,C2682144
"U10, U20, U5, U7, U8, U9",SSOP-4_4.4x2.6mm_P1.27mm,6,LTV-217-B-G,C115450
"U11, U27",RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,2,RP2354B,C39843328
U12,TSSOP-10_3x3mm_P0.5mm,1,ADS1115,C37593
U13,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUB,C16428
U17,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDAR,C9864
"U2, U30, U4",SOIC-8_3.9x4.9mm_P1.27mm,3,ISO1540,C179739
U21,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U22, U24, U6",H0505S-1WR2,3,F0505S-1WR3,C7465182
U28,SOIC-16_3.9x9.9mm_P1.27mm,1,AM26LV32EIDR,C527448
U29,Converter_DCDC_TRACO_TRA3-xxxx_THT,1,B0505S-3WR2,C7500927
U3,VSSOP-10_3x3mm_P0.5mm,1,INA228,C5214669
U32,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,C8963
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,ABM8-272-T3,C20625731
